id,text,category
1672,Someone stole my cards!,lost_or_stolen_phone
5729,"Hurry and refund me, I am waiting",Refund_not_showing_up
9279,I need more assistance with how to activate my card.,activate_my_card
6047,I am still waiting for a transfer to show up,pending_transfer
3597,I just checked my account on the App and there is a payment on there that I did not make.,card_payment_not_recognised
7154,Why can't I buy cryptocurrency on the app?,beneficiary_not_allowed
7508,My transfer failed,failed_transfer
1553,What should I do if I forgot my passcode?,passcode_forgotten
361,I can't get my card to work.,card_not_working
6155,Help me close my account.,terminate_account
2897,Can you tell me what cards and currencies you support?,supported_cards_and_currencies
4452,"On my disposable card, is there a transaction limit?",disposable_card_limits
1797,My contactless stopped working today for no good reason. It's not working no matter where I try to use it. Can you please help me fix it?,contactless_not_working
1803,How can I fix my contactless?,contactless_not_working
4514,There are transactions that I don't recognize. What do I do if I think someone is using my card?,compromised_card
849,Why is my cash still pending that I put in ATM?,pending_cash_withdrawal
9224,"Hi, would you please activate my card?",activate_my_card
9969,i want to get a card but i live in the US,country_support
4856,"I used to know my password, but not anymore.",passcode_forgotten
4461,I think my account has been hacked there are charges on there I don't recognize.,compromised_card
1162,do I need to verify my identity every time I log into my account?,why_verify_identity
5236,Why is this payment pending?,pending_card_payment
340,What are the exchange rates you assign?,exchange_rate
7569,HOW DO I TRANSFER MONEY FROM MY BANK ACCOUNT?,transfer_into_account
4482,I believe that someone is using my card without my knowledge!,compromised_card
2048,how long dies it take for transfers to reflect on my balance,transfer_timing
1538,Help me reset the passcode.,passcode_forgotten
525,I used the wrong ping too many times and now the account is blocked.  How do I unblock?,pin_blocked
9709,"I have received my American express in apple play, looks like top up has an issue, please help?",apple_pay_or_google_pay
477,It seems that something went wrong with my exchange. I changed Russian Ruble into UK pounds but have been charged entirely too much!,card_payment_wrong_exchange_rate
4261,How do I add money to my card?,topping_up_by_card
2806,Are there fees for top ups?,top_up_by_card_charge
8941,My app says I withdraw funds from my account through an ATM.,cash_withdrawal_not_recognised
6242,I need to close my account as soon as possible.,terminate_account
8943,Some cash I didn't get shows in my app,cash_withdrawal_not_recognised
1961,When will my top up be approved?,pending_top_up
3878,I keep being asked to verify my identity. Is this normal?,why_verify_identity
474,"I bought something while traveling, and the exchange rate was wrong.",card_payment_wrong_exchange_rate
149,I wasn't applied the correct exchange rate for an item I bought,card_payment_wrong_exchange_rate
914,Is my currency okay to add money with?,supported_cards_and_currencies
9085,Do I get charged for a top up from a European bank?,top_up_by_card_charge
2912,I was charged for a cash withdrawal.,cash_withdrawal_charge
5996,Why is a transfer I have still pending?,pending_transfer
6617,Where's the money from my transfer from Europe?,transfer_timing
940,Where do I obtain my virtual card?,getting_virtual_card
1738,Why could my transfer have been declined?,declined_transfer
441,Please check my payment from last Saturday as I feel I have been overcharged on the exchange rate.  Thank you.,card_payment_wrong_exchange_rate
776,Why did I only get $20 when I tried to get $100,wrong_amount_of_cash_received
9553,What steps should I take before my card expires?,card_about_to_expire
3345,I have made a recent check and cash deposit that isn't reflected in my balance.,balance_not_updated_after_cheque_or_cash_deposit
1445,How do I know which ATMs will accept this card?,atm_support
4881,I don't remember my passcode?,passcode_forgotten
807,There is an unauthorized fee.,card_payment_fee_charged
2699,What is the time frame that it usually takes for a transfer to come through? I have a friend needing it immediately but it has yet to come through.,transfer_not_received_by_recipient
3115,Is my card denied anywhere?,card_acceptance
1289,My physical card is not working,card_not_working
7413,How can my friend pay me?,receiving_money
6665,How quickly can I transfer something to China?,transfer_timing
344,Do you have an auto top-up option?,automatic_top_up
1754,I tried to buy something online yesterday but it kept saying declined. Tried again today but same thing happened. What's broken?,declined_transfer
2769,whats the exchange charge,exchange_charge
5833,I've been checking my statement to see if I've received a refund I requested from a seller a while ago has arrived. But it has not. This should have come back to me already. Can you help me figure out why it's not here and get my money back?,Refund_not_showing_up
2108,I need to cancel a transfer I made.,cancel_transfer
1546,I forgot my code to get into the app.,passcode_forgotten
538,Are you ripping people off with the exchange rate?  It can't be that atrocious between banks.,card_payment_wrong_exchange_rate
9568,I need to order a new card as my old one will expire soon. Can you tell me how to order a new one?,card_about_to_expire
1722,"
How do I unblock my PIN?",pin_blocked
5849,I went to use my new card today and the card was repeatedly declined. I would really like to use this card and need to know what to do about it.,declined_card_payment
2087,Is there a way to undo a transaction?,cancel_transfer
9616,How do I replace my card?,card_about_to_expire
505,Is it possible to open an account for my children?,age_limit
519,How old does one have to be to have an account with the bank?,age_limit
6352,There are two of the same charges on my account.,transaction_charged_twice
8636,How soon will my balance be updated to reflect my transfer?,balance_not_updated_after_bank_transfer
2721,There is a withdrawal that isn't mind in the app.,cash_withdrawal_not_recognised
4619,Which ATMs take the card?,atm_support
4148,Visa or Mastercard?,visa_or_mastercard
8558,"I tried to top-up, why didn't it work?",top_up_failed
5119,I have been waiting for my card payment to be moved from pending status for an unusually long time.  What is going on here and do you have an idea of when I can expect it to go through?,pending_card_payment
6336,I have two of the same charges on my account!,transaction_charged_twice
2534,Why can't I use my virtual card for subscription services?,virtual_card_not_working
4513,What do I do if someone used my card without my permission?,compromised_card
7506,I've already tried 5 times to complete a transfer that's just standard. What's the deal? Is your system down at this time?,failed_transfer
1812,"My latest payment was declined, I was told everything was back to working order. What happened?",declined_card_payment
8062,how do i get a new card,order_physical_card
1021,Can you tell me why my top up was reverted?,top_up_reverted
7099,why did my account decline a incoming transfer,beneficiary_not_allowed
1642,How old can one use your service?,age_limit
4994,The ATM keeps rejecting my Payment. I tried two different ATMs but did not work .Can you please check if everything is okay with my account?,declined_cash_withdrawal
7372,Can I transfer my salary if its in GBP?,receiving_money
9831,What has to be done to verify my identity?,verify_my_identity
5212,How long does it actually take for a card payment to go through? There's one stuck since a couple of days already that doesn't seem to move,pending_card_payment
2590,Why do I have to pay extra for using my card?,card_payment_fee_charged
1922,How much does each transfer cost?,top_up_by_bank_transfer_charge
3463,"I deposited a cheque, but the balance hasn't changed yet.",balance_not_updated_after_cheque_or_cash_deposit
1405,Where can i exchange between GBP and USD,exchange_via_app
1799,I need help fixing my contactless. It's not working anywhere I go today.,contactless_not_working
2964,Can I use my Apple Watch to to top up?,apple_pay_or_google_pay
1615,How long does an item I bought show as pending?,pending_card_payment
1572,I tried to make a cash withdrawal and it was declined. Why did this happen?,declined_cash_withdrawal
6217,Please help me delete this account.,terminate_account
5412,I would like to cancel my order.,request_refund
2441,I was not distributed the correct amount of cash that I asked for,wrong_amount_of_cash_received
2691,Do you have charges now when you pay with a card?,card_payment_fee_charged
5394,"I decided I no long want something that I ordered, and want a refund. How do I go about doing that?",request_refund
2949,"Next month my card will expire, do I need to order a new one?",card_about_to_expire
2812,Are there any fees if I use a European bank card for a top up?,top_up_by_card_charge
9233,What do I need to do for the card activation?,activate_my_card
1820,I don't know why my payment didn't work.,declined_card_payment
8383,How can I create a disposable virtual card?,get_disposable_virtual_card
7744,I don't see a code anywhere on my top-up card? Where can I find it? I need to verify!,verify_top_up
3791,Can I still use my account without verifying my identity?,why_verify_identity
8309,My cash withdrawl has the wrong rate of exchange.,wrong_exchange_rate_for_cash_withdrawal
3414,Is there an issue with my account?  I don't see a cheque deposit that I made yesterday.  Please assist.,balance_not_updated_after_cheque_or_cash_deposit
9227,I need my card activated.,activate_my_card
814,When would my card be charged an extra fee for a transaction?,card_payment_fee_charged
1549,Is there any way for you to find my card?,lost_or_stolen_card
154,Why was the exchange rate incorrect for an item I recently bought?,card_payment_wrong_exchange_rate
2067,"I initiated a Bank transfer form Europe, how long will this take?",transfer_timing
17,Why hasn't my card been delivered?,card_arrival
2453,What type of deposits do you accept into my account?,top_up_by_cash_or_cheque
1595,Why could I not choose cash at the ATM?,declined_cash_withdrawal
8034,How do you top-up using cash?,top_up_by_cash_or_cheque
2570,I used my card and there was a fee,card_payment_fee_charged
9196,I want to use my card. How do I activate it?,activate_my_card
9312,Could you please tell me how to activate my new card?,activate_my_card
6149,unhappy with service need to delete account,terminate_account
7757,I am looking for my top-up verification code and cannot find it.,verify_top_up
2883,What is this charge on my account for a cash withdrawl?,cash_withdrawal_charge
2449,Cash withdrawal was incorrect at ATM.,wrong_amount_of_cash_received
9242,My card is not able to be activated how do I get it to work?,activate_my_card
9740,"top up google pay, is it possible?",apple_pay_or_google_pay
7174,What kind of fees will I pay when I transfer?,transfer_fee_charged
325,Can it automatically top-up money if there isn't much left?,automatic_top_up
1082,I saw a payment i did not do,card_payment_not_recognised
6312,I have duplicated transactions on my statement,transaction_charged_twice
348,Can I set up an automatic top-up for travel.,automatic_top_up
3070,Please let me know how to place an order for a virtual card,getting_virtual_card
6018,Why is my transfer pending?,pending_transfer
7064,Why would a transfer to a beneficiary not go through?,beneficiary_not_allowed
9846,Which documents do I need for this identity check?,verify_my_identity
5765,I contacted the seller and he won't respond.  Please just refund me my  money.,Refund_not_showing_up
1509,There's a direct debit on my account that I didn't authorize,direct_debit_payment_not_recognised
4082,I can't find the card PIN.,get_physical_card
1325,Why isn't my card working anymore?,card_not_working
7629,How do I go forth on transferring a sum of money from one account to another?,transfer_into_account
644,Is there a reason my top up hasn't gone through,pending_top_up
1450,Help me locate the nearest ATM.,atm_support
7893,I'd like to get another card,getting_spare_card
2522,Why are there fees for using a card?,card_payment_fee_charged
2855,I need help activating my new card.,activate_my_card
6508,Who is giving me my money?,verify_source_of_funds
5061,why would i be declined if i had money iin my account,declined_cash_withdrawal
5565,I tried to buy something over the Internet yesterday and got a declined error. I tried again today and got the same message. What is the issue?,declined_transfer
2966,I only have a card from the US is that okay?,supported_cards_and_currencies
980,are multiple currencies acceptable?,fiat_currency_support
4913,I forgot the code I need to get into the app.,passcode_forgotten
9757,Google Pay isn't working. What is wrong?,apple_pay_or_google_pay
9786,What documents do I need to validate my identity?,verify_my_identity
9759,"Apple pay is not accepting my American Express card, can you assist me with this problem?",apple_pay_or_google_pay
1231,Why am I not able to verify my id?,unable_to_verify_identity
1529,I can't recall my passcode and need to reset it.,passcode_forgotten
4406,What's the limit for disposable virtual cards?,disposable_card_limits
7915,What's the process to receive a second card?,getting_spare_card
18,Where is my new card? I have been waiting a week!,card_arrival
5966,My card payment has failed.,declined_card_payment
580,For some reason my contactless won't work for me.,contactless_not_working
33,I'm still waiting on my card to be delivered.,card_arrival
1449,Which ATMs accept this placard ?,atm_support
2275,Can I get paid in a different currency?,receiving_money
2507,The amount of money I pushed at the atm machine did not come out of the machine.,wrong_amount_of_cash_received
1367,Can i add a new currency to my account?,exchange_via_app
2133,I don't need to transfer anymore and I want to cancel it.,cancel_transfer
2285,What is my top-up limit?,top_up_limits
4938,The ATM keeps declining my Transaction . I tried two different ATMs already Would you please check if everything is okay with my account?,declined_cash_withdrawal
2019,What is the source of my money?,verify_source_of_funds
2530,I cannot use my disposable virtual card.,virtual_card_not_working
8983,Do you charge extra for exchanging currencies?,exchange_charge
5619,Why are my transfers and purchases keep getting declined?,declined_transfer
3060,"I am from the EU, can I sign up?",country_support
6466,I got charged twice,transaction_charged_twice
6272,Why did the ATM eat my card?,card_swallowed
2539,How can I fix a problem where my virtual card is rejected?,virtual_card_not_working
6271,How do I get my card out of the ATM?,card_swallowed
6780,I used my card to make a payment and wondered why the payment was reverted?,reverted_card_payment?
2266,What is the highest amount of top ups I'm allowed?,top_up_limits
465,My bags were stolen. I need a new card but need to cancel the stolen one.,lost_or_stolen_card
9101,When I add money to my international card do you charge a fee to do so?,top_up_by_card_charge
1291,Why is my physical card not working?,card_not_working
786,How long does it take for cash withdrawals to hit my account?,pending_cash_withdrawal
3668,I just moved. How do I give you my new address?,edit_personal_details
6002,What is the reason a transfer shows as pending?,pending_transfer
9775,I'm not sure how to complete the identity checks process.,verify_my_identity
1886,Please delete my account right now!,terminate_account
2718,My account balance has not gone up even though I just transferred money into it,balance_not_updated_after_bank_transfer
3542,I don't recognize this payment at all!  Help!,card_payment_not_recognised
3944,There is no way for me to prove my identity.,unable_to_verify_identity
8986,How much does currency exchange cost?,exchange_charge
6011,How long will my transfer be pending for?,pending_transfer
1885,I'm tired of all the problems I've had. I want to quit this account!,terminate_account
9492,Why did you charge me for taking out cash?,cash_withdrawal_charge
2495,Where can you deliver cards?,order_physical_card
1220,Can I top-up automatically?,automatic_top_up
3767,Where can I modify my information?,edit_personal_details
6534,How do I find out where my funds came from?,verify_source_of_funds
4190,Can I get both a Visa and a Mastercard from you?,visa_or_mastercard
3486,I don't understand where this charge came from.,card_payment_not_recognised
6524,Is there a way to see where my money originally came from?,verify_source_of_funds
3134,Is there restrictions on where I can use my card?,card_acceptance
5164,I have a pending payment on my card.  Why?,pending_card_payment
6476,A duplicated payment was made for something.,transaction_charged_twice
1497,There is a suspicious direct debit payment.,direct_debit_payment_not_recognised
1732,Why did I get a transfer declined?,declined_transfer
1941,How long will my top-up stay pending?,pending_top_up
551,Can I reactivate my PIN?,pin_blocked
2276,Is my salary eligible for this?,receiving_money
1279,where can user find pin?,get_physical_card
6409,Please delete the duplicate payment that was made to my account. One payment is still pending and I do not want to pay twice.,transaction_charged_twice
5570,I tried to buy something online yesterday but it kept saying declined. Tried another time today but same thing happened. What's Broken?,declined_transfer
8801,The app is showing a cash withdrawal that I didn't make.,cash_withdrawal_not_recognised
1826,"My card was rejected at the store for some reason, can you look into this for me?",declined_card_payment
2207,im not paying this transfer fee,transfer_fee_charged
5348,My phone is missing.,lost_or_stolen_phone
5579,Can you tell me why my transfer declined?,declined_transfer
6681,I must make a transfer from China and it is urgent. How long before the transfer is complete?,transfer_timing
6220,Your service is bad.  Close my account.,terminate_account
190,For some reason my account's been charged an extra dollar.,extra_charge_on_statement
6864,Why wasn't my payment accepted by the app,reverted_card_payment?
2499,I got some cash but it wasn't the right amount.,wrong_amount_of_cash_received
4224,I would prefer a Mastercard.,visa_or_mastercard
9583,want a new card what are the fees,card_about_to_expire
2208,How can I cancel a transaction to a wrong account?,cancel_transfer
5242,"Is there something wrong with my card payment? It's been pending a really, really long time.",pending_card_payment
813,Why is my withdrawl to cash still pending?,pending_cash_withdrawal
2043,how soon will I see the transfer in my account?,transfer_timing
4767,There is a payment showing that I know I didn't make. I didn't use my card that day and I'm sure of it. Can you please cancel that transaction and return my money? Thankyou,direct_debit_payment_not_recognised
7771,Why do we need to verify top-ups?,verify_top_up
4989,Why won't the ATM let me withdraw money?,declined_cash_withdrawal
1792,It's been a week and I have done everything that I was asked to do and still nothing. I have contacted the seller and have not gotten a response. Please understand my frustration and put the money back in my account.,Refund_not_showing_up
9869,What is needed for the identity verification?,verify_my_identity
3279,Why have my top ups been canceled?,top_up_reverted
2826,I made a transfer to my friend earlier and she hasn't received it yet.  What's the hold up?,transfer_not_received_by_recipient
4154,I'm happy with Mastercard and want to stick with just that credit card.,visa_or_mastercard
1662,"lost phone, dont want others to access account",lost_or_stolen_phone
8538,I'm confused as to why my top-up did not go through.,top_up_failed
251,What do I do to link my new card?,card_linking
4512,"my card details could be stolen, as i didnt make these transactions",compromised_card
9024,What is the charge for exchanging currency?,exchange_charge
4912,I don't know my password,passcode_forgotten
9574,My card expires very soon.  What is the cost and delivery time to get a new one?,card_about_to_expire
4087,Do you deliver the PIN separately?,get_physical_card
5907,A shop I go to didn't let me pay.,declined_card_payment
5494,"Give me back my money, I'm not paying the sellers. It has been a long time ago that I made an order and it just isn't coming.",request_refund
7619,Can I transfer money to my card via bank-transfer?,transfer_into_account
9121,is it free to add money to my card,top_up_by_card_charge
9100,What are the top up charges for all US cards?,top_up_by_card_charge
9601,Does it cost anything to get a new card? Mine's about to expire and I'd also like to know how long it takes to get the new one.,card_about_to_expire
3899,I need help verifying my identity.,unable_to_verify_identity
2231,What do I have to do to cancel a transfer?,cancel_transfer
1246,I can't seem to be able to use my card,card_not_working
1434,I think my child used my card while I wasn't home.,compromised_card
2246,Are there any top-up limits?,top_up_limits
9180,I tired but an unable to activate my card.,activate_my_card
1811,"I was trying to use contactless earlier, but it didn't work.",contactless_not_working
2439,"my daughter needs a card, how do i add her?",getting_spare_card
838,Why was a charged a fee for using the card?,card_payment_fee_charged
5335,I no longer have my phone.,lost_or_stolen_phone
297,How is the exchange rate doing?,exchange_rate
6406,I was charged multiple times for one purchase,transaction_charged_twice
822,my cash out is still pending,pending_cash_withdrawal
7053,why is a transfer to beneficiary not possible?,beneficiary_not_allowed
1840,"I did transfer, why is it pending",pending_transfer
4187,Could I get a MasterCard and Visa from you?,visa_or_mastercard
2216,I just initiated a transfer but I'd like to cancel it.,cancel_transfer
1888,"unhappy with you, how to delete account",terminate_account
674,"Hi. I'm a new customer to your system and I think something isn't working right - or maybe it is. Maybe you can confirm. I tried to top up today (my first time ever) and it's been stuck at ""pending"" for over an hour now. Is it supposed to do this or is there something wrong in the system?",pending_top_up
2604,What are these fees i am paying?,card_payment_fee_charged
577,What is this extra pound charge for?,extra_charge_on_statement
5241,Why is it saying I have a pending payment?,pending_card_payment
899,How can I use American Express to add money to my account?,supported_cards_and_currencies
3395,"I had a cheque deposited, but I don't see my money yet?",balance_not_updated_after_cheque_or_cash_deposit
7096,Why can't I use my beneficiary?,beneficiary_not_allowed
3983,why does it take so long to verify my id,unable_to_verify_identity
7839,My daughter need a card from this account. Is that possible?,getting_spare_card
4010,I am not able to see the card PIN anywhere?,get_physical_card
219,"Hey, my card was declined at an ATM in the city centre theatre. My account says the transaction is pending, though. I didn't get the money, though, so what does that mean?",pending_cash_withdrawal
7712,Why do we need to verify a top-up card?,verify_top_up
2122,I entered a typo when I was transferring money and now I've sent it to an incorrect account.  This is so bad!  I need it cancelled now.,cancel_transfer
9939,Can I get a card? I live in the US.,country_support
2618,May I get a disposable virtual card as well?,get_disposable_virtual_card
2995,Do you accept US credit cards?,supported_cards_and_currencies
3352,Waiting for the cash I deposited this morning still,balance_not_updated_after_cheque_or_cash_deposit
4181,Will I get Visa or MasterCard?,visa_or_mastercard
5328,what to do about stolen phone,lost_or_stolen_phone
1993,"Looks like my card payment was duplicated. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?",transaction_charged_twice
1668,I mistook my pin and now I am locked.  Can you unlock me?,pin_blocked
8283,Can I withdraw money in my hometown currency while on holiday without any additional fees?,wrong_exchange_rate_for_cash_withdrawal
4048,What's my pin number?,get_physical_card
1547,I have forgotten my password.,passcode_forgotten
327,What are Interbanks current exchange rates?,exchange_rate
4875,How can I go about resetting my passcode?,passcode_forgotten
4059,Where is my pin? I don't have it yet,get_physical_card
3046,I'd like more info on getting a virtual card.,getting_virtual_card
1979,My top-up seems to be pending for a long time?,pending_top_up
5408,I want to cancel a purchase,request_refund
9788,what steps do you take to check identity,verify_my_identity
9691,Can I use my Apple Watch to pay for gas?,apple_pay_or_google_pay
7608,How does a bank transfer for topping my account work?,transfer_into_account
8320,I didn't receive the correct exchange rate when I got cash.,wrong_exchange_rate_for_cash_withdrawal
8000,Where is the option to top up with a cheque?,top_up_by_cash_or_cheque
7861,Where do I order additional cards?,getting_spare_card
597,Do I need to make a regular payment before a contactless one?,contactless_not_working
950,Please help me get a virtual card.,getting_virtual_card
4078,Is the PIN separately delivered?,get_physical_card
8106,How can I order a card?,order_physical_card
8870,"There are incorrect charges on my account, there was a WD that was made by someone else.  I still have my card though.",cash_withdrawal_not_recognised
937,help me obtain a virtual card,getting_virtual_card
7830,I'd like to provide my daughter with a card - could I get an additional card from my account to give her?,getting_spare_card
4541,My card data has been exposed.,compromised_card
1895,How much does it cost to make transfers?,top_up_by_bank_transfer_charge
771,"Hi there, earlier today I tried to take money out of an ATM machine, and something wasn't working.  I didn't actually receive the money, but I just checked and it says that the transaction is still pending.  Can you tell me what's going on here? Am I still being charged for the withdrawal even though I didn't end up getting any money?",pending_cash_withdrawal
605,Are SWIFT transfers accepted?,top_up_by_bank_transfer_charge
9521,"I need a new card to replace an expired one. Will it cost anything, and how soon?",card_about_to_expire
1512,I lost track of my card,lost_or_stolen_card
2083,My card payment was cancelled.,reverted_card_payment?
2029,Why do you need to know where my money is coming from?,verify_source_of_funds
9887,Which countries does your service work in?,country_support
3028,which kind of documentation do I need for identity check?,verify_my_identity
6376,I was charged twice for the same purchase!,transaction_charged_twice
2004,where to funds come from,verify_source_of_funds
1829,Can I do a SWIFT transfer?,top_up_by_bank_transfer_charge
6494,I would like to know where my source of funds came from.,verify_source_of_funds
1549,Is there a way to reset my passcode?,passcode_forgotten
2820,I want to use a European bank card for a top up. Must I pay?,top_up_by_card_charge
4039,I haven't received the PIN yet.,get_physical_card
3692,should i contact customer support if i can't edit details,edit_personal_details
3343,I deposited a cheque but the cash hasn't arrived yet,balance_not_updated_after_cheque_or_cash_deposit
139,I purchased an item and the exchange rate I was given was incorrect.,card_payment_wrong_exchange_rate
1611,I am seeing pending from the card payment I made.,pending_card_payment
504,Can my children have their own account?,age_limit
3836,Why is there a verification to identity,why_verify_identity
6276,A Bank ATM did not give my card back. What do I do now?,card_swallowed
190,My card is no longer lost. How do I enter it back into the app?,card_linking
2764,What is the base amount for cross-currency exchanges?,exchange_charge
4234,Do you supply both Visa and Mastercard?,visa_or_mastercard
3636,My statement has a payment that I do not recall making,card_payment_not_recognised
9559,Can I order a new card to China?,card_about_to_expire
3400,My cheque deposit didn't seem to work.,balance_not_updated_after_cheque_or_cash_deposit
2689,Can you explain why I was charged extra when I used the card?,card_payment_fee_charged
575,What can I do if contactless doesn't work?,contactless_not_working
4968,Tried using my ATM card earlier at one of your locations for the first time.  It didn't work.  What is going on?,declined_cash_withdrawal
7384,Can I transfer money using a different currency?,receiving_money
6343,It looks like I was charged twice for a single transaction,transaction_charged_twice
3073,"I haven't received my virtual card yet, do yo know why?",getting_virtual_card
3266,Reasons for top up cancellation.,top_up_reverted
1575,The withdrawal was declined I am unsure as to why this happened?,declined_cash_withdrawal
900,Which fiat currencies are supported by you?,fiat_currency_support
38,What is the tracking number for the card you sent?,card_arrival
7530,Why was I not able to complete my transfer?,failed_transfer
9575,"The expiration date for my card is coming up, how do I get a new card?",card_about_to_expire
2122,Is the bank the only place I can change my PIN>,change_pin
2152,Help me cancel a transaction.,cancel_transfer
5802,How do I find the refund on my statement?,Refund_not_showing_up
377,How do you decide what your exchange rates are?,exchange_rate
1988,I topped up about half an hour ago and the charge is still pending. I'm a new customer and today is my first time doing this. Can you fix it? It doesn't seem to be working.,pending_top_up
3018,Which part of the app do I order virtual cards from?,getting_virtual_card
1977,How long should I wait for top up go go through ?,pending_top_up
1544,What steps do I take to receive another passcode?,passcode_forgotten
155,Why is my exchange rate wrong for an item I bought?,card_payment_wrong_exchange_rate
4170,Can I choose my card scheme?,visa_or_mastercard
5710,I am waiting on the refund,Refund_not_showing_up
6751,I already got my item but just got my money back,reverted_card_payment?
9154,What options do I have when topping up a US card?,top_up_by_card_charge
6274,The ATM didnt return my card!,card_swallowed
1583,How come I can't take money out of the ATM?,declined_cash_withdrawal
2114,What happens if a merchant doesn't accept a payment?,reverted_card_payment?
7463,please help my transfer go through,failed_transfer
8919,Why is my app showing me taking money that I did not take out?,cash_withdrawal_not_recognised
1959,Why hasnt my top up gone through yet?? I thought it was suppose to be instant? Am I wrong? Why is it still pending?,pending_top_up
8265,I noticed my exchange rate was incorrect when I got cash.,wrong_exchange_rate_for_cash_withdrawal
9885,Do you provide cards to people not in the UK?,country_support
6754,"I dont know what happened, but my payment was cancelled",reverted_card_payment?
4302,"Can I add other people to my account, so they can top up?",topping_up_by_card
6110,Why is the transaction not posting?,pending_transfer
9571,Do I need to order a new card if mine is expiring?,card_about_to_expire
648,What is going on? My top-up is still pending. I use your system all the time but now it is just showing as pending.,pending_top_up
2478,The ATM is messed up. It gave me less than I wanted.,wrong_amount_of_cash_received
8010,What physical locations can I use cash to top up?,top_up_by_cash_or_cheque
3004,i need a virtual card,getting_virtual_card
8976,I need to exchange foreign currency will i be charged?,exchange_charge
8364,The rate of exchange for my cash withdrawal is wrong.,wrong_exchange_rate_for_cash_withdrawal
4424,What are the rules for using disposable virtual cards?,disposable_card_limits
3916,The app failed to verify my id.,unable_to_verify_identity
2048,What is taking so long with my top up?,pending_top_up
5867,My card payment failed.,declined_card_payment
3025,Where do I verify my identity?,verify_my_identity
2575,Will there be additional costs of I make a withdrawal from a local ATM of British pounds? I need some cash to feel comfortable on the journey home,wrong_exchange_rate_for_cash_withdrawal
634,I noticed an extra pound charge?,extra_charge_on_statement
3109,Where do I pay with my debit or credit card?,card_acceptance
2409,I did not get enough cash,wrong_amount_of_cash_received
1680,"Hello- It is urgent I get a refund on this product. The merchant has not been helpful, what can I do now to get this resolved ASAP?",request_refund
1494,I believe that my card has been stolen!,lost_or_stolen_card
649,I  do not see a top-up processed.,pending_top_up
2573,Why was the exchange rate different when I withdrew my cash?,wrong_exchange_rate_for_cash_withdrawal
1556,Could you assist me in finding my lost card?,lost_or_stolen_card
4697,My account statements show a debit payment that I didn't make it's from some time ago I need to know if it is disputable.,direct_debit_payment_not_recognised
4050,When do I set up my card PIN?,get_physical_card
9819,Can I get a full list of instructions for identity checks?,verify_my_identity
