id,utterance,intent
10571,i want to knoow my global status of my server,checkserverstatus
2633,arugula fresh fruit 	 salads,ordersaladintent
4453,boarding pass to be sent to your address or phone number,getboardingpass
7125,i need a proof of insurance for one of car,getproofofinsurance
11383,i want to update my skype,softwareupdate
8675,i have transfer money from one ac to another ac,transfermoney
3560,please send me boarding pass to my mail id,getboardingpass
543,i would like to have 3 bacon smokehouse artisan grilled chicken,orderburgerintent
735,i want to signature pizza,orderpizzaintent
6338,my iphone mobile just damaged please fix my mobile screen,reportbrokenphone
6582,i want know about my claim,checkclaimstatus
7215,i am ask for fixing the screen,reportbrokenphone
5707,i need boarding pass,getboardingpass
9592,i need some help with my credit card bill,checkbalance
1845,pizza with sauce cheese 1 topping 1,orderpizzaintent
10519,i need some software update,softwareupdate
13642,i want new cable service,startserviceintent
13504,i want cable,startserviceintent
8610,i have already raised the report,reportlostcard
13193,i would like to know about your internet service,getinformationintent
5964,please send me a boarding pass to mail or my phone number,getboardingpass
8843,can you transfer 100 dollars from 2256 to 7894,transfermoney
4954,i need to check my seat no,changeseatassignment
8172,i want transfer money to another account,transfermoney
2998,3 meat eater,orderpizzaintent
10471,i want to update my expenses,expensereport
140,then i want dr pepper,orderdrinkintent
3707,i want to know about my seat arrangement,getseatinfo
1712,yes i like to have a pizza,orderpizzaintent
1232,minute maid® premium orange juice,orderdrinkintent
7341,fixing the screen,reportbrokenphone
4960,please send me boarding pass to mail id,getboardingpass
10272,my credit card was stolen please help block my card,reportlostcard
212,i need some pizza can send me the menu card please,orderpizzaintent
873,tea and arugula fresh fruit,orderdrinkintent
11945,i want to update my expenses,softwareupdate
8509,i lost my credit card,reportlostcard
10649,hi i want to check the global status of server,checkserverstatus
8408,my credit card was stolen by yesterday,reportlostcard
9037,credit card lost,reportlostcard
3320,yes add one tea and two beer wine,orderdrinkintent
5736,please send my boarding pass,getboardingpass
8034,ask for fixing the screen,reportbrokenphone
13069,what will be the charge for service,getinformationintent
11809,for calculate my enpenses made,expensereport
12254,i want phone service can you help me,startserviceintent
5815,my seat assignment,changeseatassignment
12966,i got all information about this data plan,getinformationintent
1778,hi i need a meat eater pizza,orderpizzaintent
12539,i want new cable service,startserviceintent
11273,i need a keyboard,startorder
13277,i am need new cable service,startserviceintent
2446,i like to order 1 bbq chkn and 1 red vine please,orderpizzaintent
7075,i need a proof of insurance for the car,getproofofinsurance
4057,yes i wanted to know if zi could get my boarding pass sent to either my phone or my email address,getboardingpass
11235,i want software updates,softwareupdate
9034,hi i lost my card so please help me,reportlostcard
6071,i want to know the status of my claim,checkclaimstatus
4780,change my seat to aisle please,changeseatassignment
12192,surely siri want to update my outlook in latest version please help me,softwareupdate
3066,i need medium size pizza,orderpizzaintent
10516,i want update my outlook,softwareupdate
1874,i need signature pizza,orderpizzaintent
4524,i wants to book a ticket flight,bookflight
14445,could you share the details of it,getinformationintent
8616,i wanna change my address for saving account,updateaddress
11967,i use outlook i need software updates,softwareupdate
7254,i need a proof of insurance for one of my car will you be able to help,getproofofinsurance
14461,can you provide internet service for that data plan,getinformationintent
11346,i want new musicla equipment,startorder
3142,add 1 classic caesar please,ordersaladintent
5105,id like to have my boarding pass please,getboardingpass
4263,check seat assignment for my flight from nyc to new delhi,changeseatassignment
10057,i want to know about companys new lower rates,checkoffereligibility
7890,let me know my status claim,checkclaimstatus
1852,add one more 2 soda,orderdrinkintent
2176,smore pie dessert,orderdessertintent
2179,id like to build my own pizza,orderpizzaintent
2671,double bacon smokehouse burger,orderburgerintent
9352,can i order checks please,orderchecks
11811,hican you check the global status of the servers,checkserverstatus
11724,i need software update,softwareupdate
401,i would like to order mcdouble with vanila cone,orderburgerintent
3950,i need to check my seat assignment please,changeseatassignment
9353,transform my money from this account to my checking account,transfermoney
3242,5 bacon ranch salad with buttermilk crispy chicken and 2 double cheese burger,orderburgerintent
13158,i need a new cable connection,startserviceintent
13997,i want a new internet service,startserviceintent
3322,burger okay let me have one double cheeseburger,orderburgerintent
2329,need meat eater with pepperoni toppings and soda water,orderpizzaintent
13884,new cable service,startserviceintent
2520,double bacon smokehouse burger,orderburgerintent
11329,i want to update my skype to the latest version,softwareupdate
1387,i have agua frescas please,orderdrinkintent
4441,i wants to book a flight,bookflight
2913,3 famous fries,ordersideintent
12432,i need to purchase a new cable service,startserviceintent
2579,sea salt cookie is ok,orderdessertintent
3090,yes i need some drinks,orderdrinkintent
9840,i need to transfer money to other account,transfermoney
12891,i need a internet connection,startserviceintent
4478,check my seat,getseatinfo
10645,i want keyboard,startorder
2566,i need order pizza,orderpizzaintent
5962,please send me boarding pass,getboardingpass
9935,can you pls tell me my account balance,checkbalance
9425,i need to change my address on my ac,updateaddress
5846,i already booked a ticket but i change this seat,changeseatassignment
3363,yes 1 tasty smore pie,orderdessertintent
7923,i need a copy of insurance for my car,getproofofinsurance
6468,i need a copy of insurance for my car,getproofofinsurance
3419,southwest buttermilk crispy chicken salad,ordersaladintent
3145,i have 2,orderpizzaintent
10998,whatsapp not opened,reportbrokensoftware
11741,my skype is not working,reportbrokensoftware
10252,my credit card was expiry please i want apply new card,replacecard
5034,i need a boarding pass,getboardingpass
4409,i already booked a ticket but i change this seat,changeseatassignment
6315,i need status of my claim,checkclaimstatus
5353,i need boarding pass,getboardingpass
3064,i need desserts with it olive oil brownie,orderdessertintent
9418,i want to change my address,updateaddress
3879,i wanna book a ticket,bookflight
4618,please send my boarding pass,getboardingpass
3296,i would like to order a pizza with grilled chicken banana peppers sautéed onion roasted garlic ranch and buffalo sauce,orderpizzaintent
12628,i want to sign up for service,startserviceintent
2142,yes i would like a coke large one,orderdrinkintent
12151,i want to update outlook,softwareupdate
13697,check my current bill,viewbillsintent
11930,checking the global status of servers,checkserverstatus
6437,my claim status,checkclaimstatus
5780,book a plane tickek,bookflight
7822,i need a proof of my insurance copy,getproofofinsurance
3106,what about sea salt cookie,orderdessertintent
35,i like pizza,orderpizzaintent
13948,i want to sign up for the new cable service,startserviceintent
9864,i have some issues my account old address,updateaddress
3913,can i change my seat assignment,changeseatassignment
1774,i need pizza,orderpizzaintent
13676,i wish to purchase a cable service first time,startserviceintent
1288,hi i want 3 cheese burges with extra bacon and extra cheese,orderburgerintent
2086,i would like to order 3 triple cheese burger 1 bigmac and diet coke,orderburgerintent
8995,i also want to know if the lower rates i saw in a commercial are available to my account,checkoffereligibility
857,ok 2 burgar,orderburgerintent
904,crumbled meatballs banana peppers • basil • bell peppers gorgonzola spicy red sauce and glutenfree crust,orderpizzaintent
7405,i need a proof of insurance for my car,getproofofinsurance
13839,make a request to sign up for new service,startserviceintent
4998,seat assignment and decide to change it,changeseatassignment
13164,i wand to purchase internet service,startserviceintent
14245,i need a new cable connection,startserviceintent
4272,i need a boarding pass,getboardingpass
2287,i would like to have veg out,orderpizzaintent
14443,i want to purchase internet,startserviceintent
2567,classic caesar salad,ordersaladintent
12595,i need cable connection,startserviceintent
13336,i would like to purchase the internet connection,startserviceintent
451,hey i would like a pizza with applewood bacon arugula spinach mozzarella and spicy red sauce,orderpizzaintent
3034,i would like to start with a simpler salad called classic caesar,ordersaladintent
2226,i want to build my own pizz,orderpizzaintent
2528,hot chocolate shake,orderdrinkintent
2124,i need 	 pepperoni crumbled meatballs red onion mozzarella red sauce with cheese and sauce toppings,orderpizzaintent
1868,tomato mozzarella salad,ordersaladintent
1351,yes i like to have a coke,orderdrinkintent
8682,i want to change my address on my account,updateaddress
10314,i want to change the address with my credit card,updateaddress
8231,i want to change my account address,updateaddress
8630,ask to change the address associated with my credit card,updateaddress
11278,i want to order some musical instruments,startorder
7170,i would like to know about the status of my claim,checkclaimstatus
10077,my last credit card bill was extra charge,disputecharge
13516,i need a new cable service,startserviceintent
11523,i want to claim my travel expenses,expensereport
13073,i want to know my bill details,viewbillsintent
11771,my outlook isnt working,reportbrokensoftware
7733,i need a proof of insurance for one of my cars,getproofofinsurance
11668,i am working employee so i wants to expenses for reimbursed,expensereport
10296,kindly change my address,updateaddress
6534,can i please get proof of insurance papers for one of my cars,getproofofinsurance
9280,there is a problem with my credit card bill payment,disputecharge
13526,could you please connect a new cable service,startserviceintent
1332,classic caesar 2,orderdessertintent
14304,i want purchsae new cable,startserviceintent
13139,i want to purchase internet,startserviceintent
10270,hi sam i would like to report lost credit card,reportlostcard
13831,i need a cable connection,startserviceintent
855,i like pizza,orderpizzaintent
1598,i want salad instead,ordersaladintent
5421,i like to change the my seat can you check and change mine to window seat,changeseatassignment
6036,i need a proof of insurance for my car,getproofofinsurance
11678,i want to purchase new musical instrument,startorder
11789,i have an application not working as expected,reportbrokensoftware
5357,my seat assignment,changeseatassignment
3740,boarding pass to be sent to my email address or phone number,getboardingpass
14323,i want to purchase internet,startserviceintent
11640,i want to update my expenses amount please help me sir,expensereport
9213,need to check my account balance,checkbalance
1997,i have 1 soda please,orderdrinkintent
5624,i want check my seat assignment,changeseatassignment
8859,hello can you do the address change for my credit card,updateaddress
11237,my issue dont support with the the system,reportbrokensoftware
10498,you may be asked to provide a receipt,providereceipt
11954,please check my outlook and skuype softwares,checkserverstatus
9712,transfer 3000 to 7788998877 this account,transfermoney
10367,i lost credit card 3 days beforecould please help me on this,reportlostcard
1371,hi i want to order 1 big pizza white top,orderpizzaintent
1086,i like to order 3 red vine pizza,orderpizzaintent
11050,i want update my outlook,softwareupdate
13187,i want to sign up for new internet service,startserviceintent
10094,hi i want to transfer money from one account to another,transfermoney
13101,i need new service,startserviceintent
3581,okay i need a boarding pass,getboardingpass
1024,tomato mozzarella salads,ordersaladintent
8716,i have check my account,checkbalance
13411,i want new cable service,startserviceintent
10056,i lost my credit card,reportlostcard
11375,hoe can i order,startorder
4883,i already booked the ticket now i changed the seat,changeseatassignment
1693,link in pizza,orderpizzaintent
2260,i would like to order 3 burger,orderburgerintent
725,yes i need 1 soda,orderdrinkintent
4461,send my boarding pass to my phone number,getboardingpass
8194,my old credit card is expired order the new card,replacecard
2951,1 meat eater pizza,orderpizzaintent
9959,i want to check my account balance,checkbalance
5310,i need to check my seat assignment,changeseatassignment
9998,can you tell me the banks routing number,getroutingnumber
1815,i want to a pepperoni pizza,orderpizzaintent
1894,one bbq chkn pizza,orderpizzaintent
6828,i need a proof of insurance for my car,getproofofinsurance
11453,it is missing the periodic software updates taylor,softwareupdate
12775,i am interested in purchasing new cable service,startserviceintent
7017,my i phone screen is cracked,reportbrokenphone
13685,i want internet service,startserviceintent
1653,i want 2 lemonade,orderdrinkintent
2314,sorry i change my mind i like to order classic caesar salad instead of veg pizza,ordersaladintent
12947,i want purchase new cable,startserviceintent
7523,i need a proof of insurance for my car,getproofofinsurance
3937,hi i want to know my seat assignment,changeseatassignment
5127,i would like to change my seat assignment kindly guide me,changeseatassignment
14404,i need a new cable service connection,startserviceintent
13099,i want to purchase internet,startserviceintent
13070,good morning i need a new service,startserviceintent
4108,i want to change seatplease allot window seat if possible,changeseatassignment
3082,i need 2 meat eater,orderpizzaintent
2050,i want red vine pizza,orderpizzaintent
12272,i need cable connections,startserviceintent
375,sea salt cookie,orderdessertintent
13372,i like to purchase 10 gb data plan,startserviceintent
4923,plese send my boarding pass,getboardingpass
10557,i want to claim my travel expenses,expensereport
13666,i need internet,startserviceintent
6646,myself ginnie rath i wanted to know the status of my insurance claim,checkclaimstatus
12322,i want to a new gable service,startserviceintent
12353,i want to purchase internet service,startserviceintent
101,soda and romaine,orderdrinkintent
2817,i like lemonade 1,orderdrinkintent
6928,i need a insurance proof for my car,getproofofinsurance
11962,i need reimbursement my expenses,expensereport
5019,i need a boarding pass,getboardingpass
13322,i need to view the cable service bill for previous month,viewbillsintent
2765,i would like to order 2 green stripe pizza,orderpizzaintent
10595,spencer i am working in musical world i need latest keyboard,startorder
3301,i need to bulid own pizza,orderpizzaintent
9082,my credit card is missing,reportlostcard
13415,i want to open an account for internet connection,startserviceintent
4813,i wants to book a flight,bookflight
12646,may i know the cost of the plan,getinformationintent
5955,i wants to change my seat,changeseatassignment
13150,i want to sign up new service,startserviceintent
14052,i want a new internet connection,startserviceintent
7762,i need a proof of insurance for one of car,getproofofinsurance
6849,my i phone screen is cracked,reportbrokenphone
8966,i have a problem it looks like i was charged for something that i didnt actually purchase,disputecharge
11636,my out look mail client is not open in my laptop,reportbrokensoftware
9463,close my account,closeaccount
2115,2 diet coke please,orderdrinkintent
392,i would like to order 3 pizza,orderpizzaintent
7134,i need to know the status of my claim could you update me,checkclaimstatus
11910,i like to report my travel expanses,expensereport
9010,i have problem with credit card charges in this statement,disputecharge
3092,3 meat eater pizza,orderpizzaintent
899,i want pizza with ovalini mozzarella cherry tomatoes parmesan basil red sauce olive oil drizzle,orderpizzaintent
4754,can you check my seat please,changeseatassignment
4474,please send me boarding pass to my mail id,getboardingpass
261,yes i order to veg out,ordersaladintent
7566,i need proof insurance on my ford car,getproofofinsurance
11390,i wanted to some keyboards,startorder
11790,i use outlook i need software updates,softwareupdate
12234,how many data packs available,getinformationintent
14069,what are the different kind of plans you have for internet service,getinformationintent
7354,status of your claim,checkclaimstatus
7382,i need my phone screen demeaged,reportbrokenphone
12917,need to purchase a cable servicecan u,startserviceintent
5744,i know my seat assignment,changeseatassignment
9007,could you please find out my bank routing number,getroutingnumber
10850,out look the issues on the software,reportbrokensoftware
7057,need a proof of insurance for one of my cars,getproofofinsurance
5631,please send my boarding pass to my email address,getboardingpass
11132,i want to buy a musical instrument,startorder
2646,add 1 classic caesar please,ordersaladintent
14370,i need a internet connection,startserviceintent
769,i need cheese pizza,orderpizzaintent
11196,i am report my travel expenses,expensereport
13542,i like move to new house so i want to change my cable connection,startserviceintent
11006,i need some musical instruments,startorder
9394,i am trying to get a balance on my checking account,checkbalance
60,i like to have a pizza,orderpizzaintent
6732,hi i need status of my claim,checkclaimstatus
12826,i want the internet service spencer,startserviceintent
6375,i need to get a proof of insurance for my car can you help me with that,getproofofinsurance
13369,i want a new cable service,startserviceintent
12844,i want new cable service,startserviceintent
6292,i need a status of claim,checkclaimstatus
3267,smore pie 2,orderdessertintent
5488,need to change my seat as in windowcan u,changeseatassignment
6312,hi i looking to see what the status of my claim,checkclaimstatus
13439,i need a 5 gb plan,upgradeserviceintent
5586,sorry i want aisle,changeseatassignment
11215,i want to buy keyboard,startorder
8298,i lost my credit card,reportlostcard
4672,hello i need a copy of my boarding pass,getboardingpass
5152,i wanted to confirm my flight today and wanted to check my seat assignment please,changeseatassignment
2971,yes i want sea salt cookie,orderdessertintent
10435,ihave transfer money one ac to another ac,transfermoney
1084,"applewood bacon 
 caesar dressing 
	 soda",ordersaladintent
7472,i need insurance to my car,getproofofinsurance
14463,i need a cable connection,startserviceintent
6681,i want a proof for my car insurance,getproofofinsurance
2440,yes 2 sprite,orderdrinkintent
7258,my mobile screen is broken,reportbrokenphone
2244,yes i need seasonal fruit juice,orderdrinkintent
10757,i want to update my outlook,softwareupdate
5088,i need seat assignment details,changeseatassignment
2031,and some soda,orderdrinkintent
10066,i want remove extra charge on my credit card bill,disputecharge
2211,artichokes banana peppers sautéed onion gorgonzola classic red sauce pepperoni highrise dough pizza,orderpizzaintent
12878,i would like to signup for new internet service,startserviceintent
4733,i want to check my seat assignment,getseatinfo
2178,arugula fresh fruit 	 salad,ordersaladintent
3776,i want to know my seat no,getseatinfo
12713,i want to a cable service,startserviceintent
165,add one more 2 tea please,orderdrinkintent
1883,need a couple of meat eater pizzas with pepperoni toppingsand single tomato mozarella salad and soda drinks,orderpizzaintent
1637,i would like to have 2 medium size pizza,orderpizzaintent
3778,request you to change middle seat i am comfortable with window seat,changeseatassignment
11320,one doubt if i update the version my datas are delete or not,softwareupdate
8789,hello sam need to change my new address for credit card,updateaddress
5448,i want to know seat no,getseatinfo
4777,i need to know about my seat assignment,changeseatassignment
2040,i want pizza with pepperoni crumbled meatballs red onion mozzarella red sauce,orderpizzaintent
11260,i have some issusing sky sof,reportbrokensoftware
2937,add red wine too,orderdrinkintent
2708,the freshlycracked classic,orderbreakfastintent
11688,checking the global status of servers,checkserverstatus
9510,i lost my credit card,reportlostcard
7430,my status of our claim,checkclaimstatus
2488,i have one medium pizza and grilled chicken and mozzarella cheese thats all,orderpizzaintent
2140,my order one crumbled meatballs and classic red chilli,orderpizzaintent
4768,i want to know my seat no,getseatinfo
2682,i like to order 1 meat eater please,orderburgerintent
673,okay add 3 pepsi mini,orderdrinkintent
6491,now i apply for an insurance,getproofofinsurance
11473,i want to update my skype software,softwareupdate
609,please provide 15 o ml of coke,orderdrinkintent
838,i like to order 3 meat eater and 1 art lover please,orderburgerintent
4956,yes a very good morning i wand your help is check my seat assingment,changeseatassignment
9787,i want to change my address on my account,updateaddress
6832,i need a copy of insurance for my car,getproofofinsurance
11020,hi i would like to inform my travel expenses,expensereport
12329,i want a new internet connection can you help me,startserviceintent
8590,i need to order checks,orderchecks
12574,i need to purchase extra gb for internet,upgradeserviceintent
4425,can you please tell me what my seat number is,getseatinfo
8464,to transfer 150 to another account,transfermoney
2037,sea salt cookie olive oil brownie,orderdessertintent
4904,check my seat assignment,changeseatassignment
9223,i need to check my balance,checkbalance
12972,how much is it going to cost,getinformationintent
2882,i need one artichokes mozzarella ricotta chopped garlic red sauce dollops with cheese toppings,orderpizzaintent
10370,i lost my credit card,reportlostcard
6133,my iphone screen just cracked,reportbrokenphone
8393,thank you very much and i need our bank routing number can you provide me,getroutingnumber
10839,i would reporting the travel expenses,expensereport
3017,i place an order for 2 small meat eater,orderburgerintent
750,need some hot chocalate drink with that,orderdrinkintent
13245,my cable service,startserviceintent
14147,internet cable service,startserviceintent
7046,i need a car insurance proof,getproofofinsurance
4678,i already booked a ticket but i change this seat,changeseatassignment
5004,i want to check my seat,changeseatassignment
12007,i want to need a software updates,softwareupdate
8277,an error happened in my credit card bill could you remove it,disputecharge
10287,so kindly block it and provide new one,closeaccount
1895,yes i want one lemonade,orderdrinkintent
10307,hi want to check my account balance,checkbalance
86,hi i would like to order 2 pizza,orderpizzaintent
8565,i have extra charge on my credit card bill could you kindly help me to resolve this problem,disputecharge
2492,i want to pizza,orderpizzaintent
1487,could i also get a large sprite and actually could i remove the mustard on the mcdouble as well,orderdrinkintent
7310,hello my phone just cracked,reportbrokenphone
5842,can i get my boarding pass please,getboardingpass
14066,what are the prices for those plans,getinformationintent
5173,my seat assignment,changeseatassignment
13107,i wand a new cable service plan,startserviceintent
6595,i want to check the status of the claim,checkclaimstatus
11506,i will update now working good,softwareupdate
8444,last month i paid bills through cheque on or before due date but bills shown the payment only paid after due date,disputecharge
12942,i want to sign up new service,startserviceintent
3968,check my seat assignment and decide to change it,changeseatassignment
5063,my seat assignment,changeseatassignment
3946,check seat assignment,changeseatassignment
55,i want salad,ordersaladintent
10669,please update the the skype,softwareupdate
7526,sorry checking on a claim,checkclaimstatus
1732,3 meat eater pizza,orderpizzaintent
4177,my boarding pass to be sent to your email address or phone number,getboardingpass
10211,i want my balance amount in mt account,checkbalance
3372,yes i need sea salt cookie,orderdessertintent
10326,i want close my account,closeaccount
2062,yes chocolate shake,orderdrinkintent
6967,i need a proof of insurance for one of the car,getproofofinsurance
6221,i need a copy of insurance for my car,getproofofinsurance
5491,my seat assignment and decide to change it,changeseatassignment
2462,yes 2 lemonade please,orderdrinkintent
2561,i like pizza,orderpizzaintent
7556,what about status of my claim,checkclaimstatus
5880,boarding pass to be sent to my email address or phone number,getboardingpass
12918,i want to new cable,startserviceintent
8820,transfer money from my account to another account,transfermoney
10384,i have lost my credit card,reportlostcard
13670,i want to know abut internet plan,getinformationintent
10141,need to check balance my saving account,checkbalance
872,2 coca cola,orderdrinkintent
8344,hey please help me to resolve the issues for my credit card lost,reportlostcard
6695,i need proof car insurance,getproofofinsurance
5092,i want to check my seat,getseatinfo
861,yes i like to arugula fresh fruit salad,ordersaladintent
3798,i need boarding pass,getboardingpass
8445,i need change address from my account,updateaddress
2028,double quarter pounder with cheese,orderburgerintent
10383,need to close this acand need to tranfer 567 to another ac,closeaccount
2464,no please send extra chilli flakes that is enough,ordersideintent
13281,i want to purchase internet,startserviceintent
727,and 2 lemonade,orderdrinkintent
13023,i am looking for a new internet providerr,startserviceintent
2250,may i know red wine available currently,orderdrinkintent
13558,hi id like to sign up for new service,startserviceintent
4314,i need k 18 seat,changeseatassignment
10579,i want to claim my travel expenses,expensereport
3575,boarding pass to be sent to your email address or phone number,getboardingpass
12609,i want new cable service,startserviceintent
14345,i want to new cable,startserviceintent
7549,i need a proof of insurance for my car,getproofofinsurance
6984,i need a proof of insurance of my car,getproofofinsurance
10527,i am unable to open skype in my laptop,reportbrokensoftware
8115,ok and also change my address,updateaddress
4681,can you please help me to find my seat assignment charlie,changeseatassignment
3941,can you please change to window seat,changeseatassignment
4109,please send boarding pass to registered mobile number,getboardingpass
1508,bacon ranch salad with buttermilk crispy chicken 2 nos,ordersaladintent
4261,i like to know my seat assignment,changeseatassignment
3187,2 coca cola,orderdrinkintent
11928,i use skype i need a global status of this application,checkserverstatus
13219,hope you have lot of plans for internet service,getinformationintent
3705,i need boarding pass,getboardingpass
3803,i want to check my seat assignment,changeseatassignment
13803,i want a new service,startserviceintent
2065,i like to two red vine,orderpizzaintent
4164,i need know the seat assignment for my trip,changeseatassignment
8614,please remove the charge,disputecharge
5029,i need a boarding pass,getboardingpass
9066,hai i need check my account balance,checkbalance
7770,i want status for my claim,checkclaimstatus
4407,i want check my seat assignment,getseatinfo
11483,i are reporting travel expenses,expensereport
12228,i want to purchase cable sir,startserviceintent
4206,send me the boarding pass,getboardingpass
8514,hi my name richard steve theres a big negative error in my credit card bill,disputecharge
2042,i need 2 veg out pizza,orderpizzaintent
2816,i like sea salt cookie dessert 1,orderdessertintent
5342,im hoping i can get my boarding pass sent to me,getboardingpass
11662,i want chek the global status of servers,checkserverstatus
13537,i want new internet connection,startserviceintent
13627,i want to purchase new cable internet or phone service,startserviceintent
5605,i need a boarding pass,getboardingpass
8969,yes i have noticed some error on my credit card bill can you check it out i need reason why you charged more,disputecharge
12063,surely siri want to buy a new keyboard model please help me,startorder
13985,hi i wants to purchase internet,startserviceintent
12088,i can set up new recurring orders,changeorder
7387,i want to need a proof of insurance for my car,getproofofinsurance
688,ok 1 milkshakes,orderdrinkintent
12317,i want to sign up for internet srvices for 1 gb plan,startserviceintent
9120,and finally close my account,closeaccount
2801,water bottles 2,orderdrinkintent
3019,yes one salad tomato mozzarella,ordersaladintent
1660,add one more item 2 lemonade,orderdrinkintent
175,i need 2 bbq pizza,orderpizzaintent
10474,my application is not working it keeps crashing,reportbrokensoftware
6547,i need a proof of insurance for one of your cars,getproofofinsurance
9244,i lost my credit card,reportlostcard
12416,i want to purchase internet,startserviceintent
13583,i wand a new cable connection,startserviceintent
